,도시,시간,온도,체감온도,습도
405,Asia/Shanghai,1651611600,290.29,288.71,25
406,Asia/Shanghai,1651615200,290.37,288.83,26
407,Asia/Shanghai,1651618800,293.41,292.12,24
408,Asia/Shanghai,1651622400,296.94,295.9,20
409,Asia/Shanghai,1651626000,300.71,299.53,17
410,Asia/Shanghai,1651629600,303.88,301.88,15
411,Asia/Shanghai,1651633200,306.37,303.95,12
412,Asia/Shanghai,1651636800,307.61,305.0,9
413,Asia/Shanghai,1651640400,308.01,305.34,9
414,Asia/Shanghai,1651644000,308.32,305.6,8
415,Asia/Shanghai,1651647600,308.24,305.53,8
416,Asia/Shanghai,1651651200,307.86,305.2,8
417,Asia/Shanghai,1651654800,307.34,304.77,9
418,Asia/Shanghai,1651658400,305.48,303.19,10
419,Asia/Shanghai,1651662000,302.73,300.96,11
420,Asia/Shanghai,1651665600,300.95,299.62,12
421,Asia/Shanghai,1651669200,300.84,299.55,13
422,Asia/Shanghai,1651672800,299.68,299.68,13
423,Asia/Shanghai,1651676400,298.05,297.04,17
424,Asia/Shanghai,1651680000,297.62,296.59,18
425,Asia/Shanghai,1651683600,297.37,296.37,20
426,Asia/Shanghai,1651687200,297.0,296.07,24
427,Asia/Shanghai,1651690800,295.81,294.89,29
428,Asia/Shanghai,1651694400,295.01,294.14,34
429,Asia/Shanghai,1651698000,294.31,293.45,37
430,Asia/Shanghai,1651701600,294.09,293.31,41
431,Asia/Shanghai,1651705200,295.81,295.2,41
432,Asia/Shanghai,1651708800,298.07,297.61,38
433,Asia/Shanghai,1651712400,300.46,299.9,33
434,Asia/Shanghai,1651716000,302.75,301.41,28
435,Asia/Shanghai,1651719600,304.91,303.08,23
436,Asia/Shanghai,1651723200,306.41,304.35,20
437,Asia/Shanghai,1651726800,307.04,304.84,18
438,Asia/Shanghai,1651730400,307.27,305.07,18
439,Asia/Shanghai,1651734000,307.67,305.39,17
440,Asia/Shanghai,1651737600,307.42,305.14,17
441,Asia/Shanghai,1651741200,307.0,304.79,18
442,Asia/Shanghai,1651744800,305.05,303.09,21
443,Asia/Shanghai,1651748400,302.78,301.24,24
444,Asia/Shanghai,1651752000,299.83,299.34,29
445,Asia/Shanghai,1651755600,299.29,299.29,30
446,Asia/Shanghai,1651759200,297.94,297.31,32
447,Asia/Shanghai,1651762800,296.61,295.93,35
448,Asia/Shanghai,1651766400,296.01,295.29,36
449,Asia/Shanghai,1651770000,295.13,294.35,37
450,Asia/Shanghai,1651773600,294.46,293.64,38
451,Asia/Shanghai,1651777200,294.85,294.04,37
